Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/es_ES/_guides/qute-reference.adoc.po, 855, 882, 13558, 13753, 2%
l10n/po/es_ES/_guides/security-oidc-expanded-configuration.adoc.po, 721, 728, 13241, 13253, 1%
l10n/po/es_ES/_guides/writing-extensions.adoc.po, 654, 656, 13096, 13099, 1%
l10n/po/es_ES/_guides/kafka.adoc.po, 596, 624, 12032, 12413, 4%
l10n/po/es_ES/_guides/native-reference.adoc.po, 349, 350, 10339, 10342, 1%
l10n/po/es_ES/_guides/security-oidc-code-flow-authentication.adoc.po, 415, 424, 10264, 10303, 1%
l10n/po/es_ES/_guides/rest.adoc.po, 509, 516, 8562, 8590, 1%
l10n/po/es_ES/_guides/hibernate-orm.adoc.po, 424, 431, 7913, 7979, 1%
l10n/po/es_ES/_guides/resteasy-reactive.adoc.po, 455, 461, 7237, 7245, 1%
l10n/po/es_ES/_guides/websockets-next-reference.adoc.po, 324, 328, 6409, 6435, 1%
l10n/po/es_ES/_guides/rest-client.adoc.po, 327, 341, 6080, 6183, 2%
l10n/po/es_ES/_guides/tls-registry-reference.adoc.po, 336, 342, 6071, 6188, 2%
l10n/po/es_ES/_guides/deploying-to-kubernetes.adoc.po, 335, 342, 6033, 6061, 1%
l10n/po/es_ES/_guides/cdi-reference.adoc.po, 300, 306, 6025, 6055, 1%
l10n/po/es_ES/_guides/dev-ui.adoc.po, 481, 485, 5851, 5856, 1%
l10n/po/es_ES/_guides/maven-tooling.adoc.po, 281, 287, 5837, 5862, 1%
l10n/po/es_ES/_guides/getting-started-testing.adoc.po, 240, 248, 5393, 5446, 1%
l10n/po/es_ES/_guides/security-oidc-bearer-token-authentication.adoc.po, 239, 246, 5292, 5317, 1%
l10n/po/es_ES/_guides/security-oidc-auth0-tutorial.adoc.po, 193, 199, 5201, 5212, 1%
l10n/po/es_ES/_guides/rest-client-reactive.adoc.po, 264, 276, 4901, 4982, 2%
l10n/po/es_ES/_guides/security-jwt.adoc.po, 324, 345, 4819, 4871, 2%
l10n/po/es_ES/_guides/hibernate-search-orm-elasticsearch.adoc.po, 273, 289, 4679, 4778, 3%
l10n/po/es_ES/_guides/config-reference.adoc.po, 251, 254, 4458, 4481, 1%
l10n/po/es_ES/_guides/building-native-image.adoc.po, 212, 223, 4351, 4394, 1%
l10n/po/es_ES/_guides/redis-reference.adoc.po, 249, 253, 4343, 4369, 1%
l10n/po/es_ES/_guides/datasource.adoc.po, 338, 341, 4233, 4255, 1%
l10n/po/es_ES/_guides/pulsar.adoc.po, 220, 240, 4226, 4444, 5%
l10n/po/es_ES/_guides/security-authorize-web-endpoints-reference.adoc.po, 231, 235, 4212, 4221, 1%
l10n/po/es_ES/_guides/security-openid-connect-client-reference.adoc.po, 196, 203, 4176, 4210, 1%
l10n/po/es_ES/_guides/security-authentication-mechanisms.adoc.po, 240, 245, 3914, 3933, 1%
l10n/po/es_ES/_guides/hibernate-search-standalone-elasticsearch.adoc.po, 232, 248, 3909, 4008, 3%
