Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/es_ES/_versions/main/guides/writing-extensions.adoc.po, 608, 609, 12588, 12589, 1%
l10n/po/es_ES/_versions/main/guides/kafka.adoc.po, 593, 608, 12180, 12265, 1%
l10n/po/es_ES/_versions/main/guides/qute-reference.adoc.po, 785, 796, 12157, 12170, 1%
l10n/po/es_ES/_versions/main/guides/native-reference.adoc.po, 343, 344, 10193, 10196, 1%
l10n/po/es_ES/_versions/main/guides/security-oidc-code-flow-authentication.adoc.po, 365, 374, 9208, 9247, 1%
l10n/po/es_ES/_versions/main/guides/rest.adoc.po, 477, 482, 7689, 7696, 1%
l10n/po/es_ES/_versions/main/guides/resteasy-reactive.adoc.po, 463, 468, 7451, 7458, 1%
l10n/po/es_ES/_versions/main/guides/deploying-to-kubernetes.adoc.po, 360, 364, 6191, 6197, 1%
l10n/po/es_ES/_versions/main/guides/hibernate-orm.adoc.po, 314, 319, 6038, 6057, 1%
l10n/po/es_ES/_versions/main/guides/maven-tooling.adoc.po, 268, 272, 5455, 5459, 1%
l10n/po/es_ES/_versions/main/guides/cdi-reference.adoc.po, 274, 279, 5344, 5354, 1%
l10n/po/es_ES/_versions/main/guides/security-oidc-auth0-tutorial.adoc.po, 194, 199, 5200, 5210, 1%
l10n/po/es_ES/_versions/main/guides/rest-client.adoc.po, 276, 286, 5113, 5166, 2%
l10n/po/es_ES/_versions/main/guides/rest-client-reactive.adoc.po, 269, 279, 4986, 5039, 2%
l10n/po/es_ES/_versions/main/guides/tls-registry-reference.adoc.po, 257, 259, 4876, 4879, 1%
l10n/po/es_ES/_versions/main/guides/getting-started-testing.adoc.po, 212, 218, 4811, 4836, 1%
l10n/po/es_ES/_versions/main/guides/hibernate-search-orm-elasticsearch.adoc.po, 276, 287, 4681, 4722, 1%
l10n/po/es_ES/_versions/main/guides/security-jwt.adoc.po, 289, 309, 4584, 4638, 2%
l10n/po/es_ES/_versions/main/guides/websockets-next-reference.adoc.po, 234, 237, 4490, 4496, 1%
l10n/po/es_ES/_versions/main/guides/pulsar.adoc.po, 221, 237, 4316, 4402, 2%
l10n/po/es_ES/_versions/main/guides/security-oidc-bearer-token-authentication.adoc.po, 188, 195, 4280, 4305, 1%
l10n/po/es_ES/_versions/main/guides/building-native-image.adoc.po, 203, 211, 4117, 4138, 1%
l10n/po/es_ES/_versions/main/guides/config-reference.adoc.po, 228, 230, 4106, 4109, 1%
l10n/po/es_ES/_versions/main/guides/datasource.adoc.po, 337, 338, 3994, 3995, 1%
l10n/po/es_ES/_versions/main/guides/hibernate-search-standalone-elasticsearch.adoc.po, 238, 249, 3982, 4023, 2%
l10n/po/es_ES/_versions/main/guides/mongodb-panache.adoc.po, 184, 200, 3787, 3873, 3%
l10n/po/es_ES/_versions/main/guides/security-openid-connect-client-reference.adoc.po, 169, 175, 3657, 3671, 1%
l10n/po/es_ES/_versions/main/guides/gradle-tooling.adoc.po, 175, 176, 3526, 3527, 1%
l10n/po/es_ES/_versions/main/guides/redis-reference.adoc.po, 216, 219, 3416, 3422, 1%
l10n/po/es_ES/_versions/main/guides/cassandra.adoc.po, 164, 167, 3408, 3411, 1%
l10n/po/es_ES/_versions/main/guides/building-my-first-extension.adoc.po, 173, 176, 3356, 3359, 1%
l10n/po/es_ES/_versions/main/guides/vertx-reference.adoc.po, 240, 243, 3312, 3317, 1%
l10n/po/es_ES/_versions/main/guides/infinispan-client-reference.adoc.po, 201, 206, 3249, 3260, 1%
l10n/po/es_ES/_versions/main/guides/http-reference.adoc.po, 264, 268, 3185, 3191, 1%
l10n/po/es_ES/_versions/main/guides/security-authorize-web-endpoints-reference.adoc.po, 173, 177, 3149, 3158, 1%
l10n/po/es_ES/_versions/main/guides/security-openid-connect-multitenancy.adoc.po, 162, 173, 3128, 3164, 2%
l10n/po/es_ES/_versions/main/guides/logging.adoc.po, 298, 304, 3113, 3121, 1%
