Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/es_ES/_includes/kubernetes-native.html.po, 16, 24, 290, 398, 28%
l10n/po/es_ES/_includes/continuum.html.po, 11, 42, 201, 1123, 83%
l10n/po/es_ES/_includes/get-started-code-steps.html.po, 9, 25, 128, 241, 47%
l10n/po/es_ES/_includes/support-help-band.html.po, 6, 11, 128, 141, 10%
l10n/po/es_ES/_includes/standards.html.po, 33, 36, 109, 253, 57%
l10n/po/es_ES/_includes/homepage-features-icon-band.html.po, 5, 13, 65, 217, 71%
l10n/po/es_ES/_includes/about.html.po, 7, 16, 53, 259, 80%
l10n/po/es_ES/_includes/homepage-container_first-band.html.po, 1, 3, 47, 54, 13%
l10n/po/es_ES/_includes/catalog-detail-band.html.po, 1, 88, 42, 590, 93%
l10n/po/es_ES/_includes/homepage-imperative_and_reactive-band.html.po, 3, 6, 38, 44, 14%
l10n/po/es_ES/_includes/homepage-extensions-band.html.po, 1, 2, 35, 41, 15%
l10n/po/es_ES/_includes/homepage-hero-newrelease-band.html.po, 5, 6, 33, 33, 0%
l10n/po/es_ES/_includes/developer-joy.html.po, 6, 23, 31, 272, 89%
l10n/po/es_ES/_includes/header-navigation.html.po, 16, 48, 25, 67, 63%
l10n/po/es_ES/_includes/discussion.html.po, 3, 8, 22, 119, 82%
l10n/po/es_ES/_includes/worldtour-abstracts.html.po, 2, 15, 12, 363, 97%
l10n/po/es_ES/_includes/homepage-performance-band.html.po, 1, 2, 3, 7, 58%
l10n/po/es_ES/_includes/container-first.html.po, 1, 16, 2, 544, 100%
l10n/po/es_ES/_includes/homepage-developer_joy-band.html.po, 1, 8, 2, 48, 96%
l10n/po/es_ES/_includes/awards-band.html.po, 0, 2, 0, 8, 100%
l10n/po/es_ES/_includes/catalog-index-band.html.po, 0, 52, 0, 109, 100%
l10n/po/es_ES/_includes/community-contrib-band.html.po, 0, 27, 0, 372, 100%
l10n/po/es_ES/_includes/events-discussions-band.html.po, 0, 1, 0, 13, 100%
l10n/po/es_ES/_includes/events-worldtour-band.html.po, 0, 3, 0, 45, 100%
l10n/po/es_ES/_includes/feedback-community-band.html.po, 1, 12, 0, 98, 100%
l10n/po/es_ES/_includes/get-started-band-lightblue.html.po, 0, 9, 0, 59, 100%
l10n/po/es_ES/_includes/get-started-band.html.po, 0, 10, 0, 59, 100%
l10n/po/es_ES/_includes/homepage-features-band.html.po, 0, 17, 0, 146, 100%
l10n/po/es_ES/_includes/homepage-hero-band-ssjprime.html.po, 0, 9, 0, 46, 100%
l10n/po/es_ES/_includes/homepage-hero-band.html.po, 0, 12, 0, 51, 100%
l10n/po/es_ES/_includes/homepage-worldtour-band.html.po, 0, 4, 0, 45, 100%
l10n/po/es_ES/_includes/support-options-band.html.po, 0, 5, 0, 33, 100%
l10n/po/es_ES/_includes/worldtour-code.html.po, 0, 3, 0, 36, 100%
l10n/po/es_ES/_data/wg.yaml.po, 190, 191, 7105, 7106, 1%
l10n/po/es_ES/_data/versioned/main/index/quarkus.yaml.po, 863, 1580, 5354, 6617, 20%
l10n/po/es_ES/_data/versioned/latest/index/quarkus.yaml.po, 860, 1575, 5321, 6581, 20%
l10n/po/es_ES/_data/versioned/3-27/index/quarkus.yaml.po, 852, 1563, 5276, 6530, 20%
l10n/po/es_ES/_data/versioned/3-20/index/quarkus.yaml.po, 839, 1537, 5206, 6441, 20%
l10n/po/es_ES/_data/versioned/3-15/index/quarkus.yaml.po, 809, 1478, 5062, 6258, 20%
l10n/po/es_ES/_data/versioned/3-8/index/quarkus.yaml.po, 724, 1341, 4625, 5729, 20%
l10n/po/es_ES/_data/versioned/3-6/index/quarkus.yaml.po, 716, 1329, 4571, 5671, 20%
l10n/po/es_ES/_data/guides-2-13.yaml.po, 438, 707, 4002, 4448, 11%
l10n/po/es_ES/_data/versioned/3-2/index/quarkus.yaml.po, 383, 970, 3876, 4940, 22%
l10n/po/es_ES/_data/guides-2-7.yaml.po, 410, 666, 3790, 4223, 11%
l10n/po/es_ES/_data/versioned/2-16/index/quarkus.yaml.po, 358, 882, 3621, 4584, 22%
l10n/po/es_ES/_data/insights-videos.yaml.po, 844, 894, 3458, 3561, 3%
l10n/po/es_ES/_data/books.yaml.po, 88, 90, 957, 961, 1%
l10n/po/es_ES/_data/versioned/main/index/relations.yaml.po, 202, 515, 932, 1401, 34%
l10n/po/es_ES/_data/versioned/latest/index/relations.yaml.po, 201, 513, 924, 1392, 34%
l10n/po/es_ES/_data/versioned/3-27/index/relations.yaml.po, 199, 509, 914, 1380, 34%
l10n/po/es_ES/_data/versioned/3-20/index/relations.yaml.po, 195, 499, 898, 1357, 34%
l10n/po/es_ES/_data/extensions.yaml.po, 394, 416, 860, 883, 3%
l10n/po/es_ES/_data/versioned/3-15/index/relations.yaml.po, 185, 481, 827, 1282, 36%
l10n/po/es_ES/_data/versioned/3-8/index/relations.yaml.po, 168, 446, 761, 1195, 37%
l10n/po/es_ES/_data/versioned/3-6/index/relations.yaml.po, 166, 444, 747, 1182, 37%
l10n/po/es_ES/_data/versioned/3-8/index/quarkiverse.yaml.po, 63, 102, 558, 690, 20%
l10n/po/es_ES/_data/versioned/latest/index/quarkiverse.yaml.po, 63, 102, 558, 690, 20%
l10n/po/es_ES/_data/versioned/main/index/quarkiverse.yaml.po, 63, 102, 558, 690, 20%
l10n/po/es_ES/_data/events.yaml.po, 85, 85, 550, 550, 0%
l10n/po/es_ES/_data/newsletter.yaml.po, 193, 193, 494, 494, 0%
l10n/po/es_ES/_data/qtips-videos.yaml.po, 101, 111, 390, 412, 6%
l10n/po/es_ES/_data/training.yaml.po, 58, 59, 353, 355, 1%
l10n/po/es_ES/_data/projectfooter.yaml.po, 91, 99, 204, 214, 5%
l10n/po/es_ES/_data/katakodalist.yaml.po, 16, 17, 128, 141, 10%
l10n/po/es_ES/_data/index-docs.yaml.po, 13, 14, 66, 67, 2%
l10n/po/es_ES/_data/cheatsheets.yaml.po, 11, 11, 42, 42, 0%
l10n/po/es_ES/_data/event_worldtour_hero.yaml.po, 2, 2, 34, 34, 0%
l10n/po/es_ES/_data/publication-entries.yaml.po, 1, 1, 18, 18, 0%
l10n/po/es_ES/_data/guides.yaml.po, 5, 5, 15, 15, 0%
l10n/po/es_ES/_data/recent-posts-band.yaml.po, 2, 2, 6, 6, 0%
l10n/po/es_ES/_data/1kcontributor-list.yaml.po, 0, 3940, 0, 7910, 100%
l10n/po/es_ES/_data/callout-quotes.yaml.po, 0, 3, 0, 55, 100%
l10n/po/es_ES/_data/getstarted-guides.yaml.po, 0, 15, 0, 108, 100%
l10n/po/es_ES/_data/getstarted-nextsteps.yaml.po, 0, 24, 0, 140, 100%
l10n/po/es_ES/_data/getstarted-videos.yaml.po, 0, 21, 0, 91, 100%
l10n/po/es_ES/_data/languages.yaml.po, 0, 1, 0, 20, 100%
